Project,file,group,genus,species,colony,field_lab,garden_worker,location
SRP018246,SRR655363,YCW1,Cyphomyrmex,Cyphomyrmex rimosus,Y1,field,worker,Texas
SRP018246,SRR655364,YCW2,Cyphomyrmex,Cyphomyrmex rimosus,Y2,field,worker,Texas
SRP018246,SRR655336,ClFW3RS1607,Cyphomyrmex,Cyphomyrmex longiscapus,RS1607,field,worker,Panama
SRP018246,SRR655335,ClFGaRS1607,Cyphomyrmex,Cyphomyrmex longiscapus,RS1607,field,garden,Panama
SRP018246,SRR655334,TzLW3RS1507,Trachymyrmex,Trachymyrmex zeteki,RS1507,lab,worker,Austinlab
SRP018246,SRR655333,TzLW3RS1506,Trachymyrmex,Trachymyrmex zeteki,RS1506,lab,worker,Austinlab
SRP018246,SRR655332,TzLGaRS1507,Trachymyrmex,Trachymyrmex zeteki,RS1507,lab,garden,Austinlab
SRP018246,SRR655331,TzLGaRS1506,Trachymyrmex,Trachymyrmex zeteki,RS1506,lab,garden,Austinlab
SRP018246,SRR655330,TzFW3RS1507,Trachymyrmex,Trachymyrmex zeteki,RS1507,field,worker,Panama
SRP018246,SRR655329,TzFW3RS1506,Trachymyrmex,Trachymyrmex zeteki,RS1506,field,worker,Panama
SRP018246,SRR655328,TzFGaRS1507,Trachymyrmex,Trachymyrmex zeteki,RS1507,field,garden,Panama
SRP018246,SRR655327,TzFGaRS1506,Trachymyrmex,Trachymyrmex zeteki,RS1506,field,garden,Panama
